mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.1857008934020996,0.08347922681477403,0.060820579528808594,0.004376023355448335,,2,100,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.8096109414634934,0.7868741214676943,0.8201331329875753,0.8114548494983278,0.8151193215595719,0.8086384733953326,0.011460307809100663,12
2.2665827751159666,0.09218713379452982,0.09460039138793945,0.0026104167401374495,,2,200,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.8076842292343238,0.7891017562567658,0.8201189956861032,0.8120728515340991,0.8179502007902197,0.8093856067003025,0.011046343014227144,11
1.059669589996338,0.040764409719510376,0.05553359985351562,0.001683227086520582,,5,100,"{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.8161080412970773,0.7977537847575655,0.8322003296010858,0.8299625967395343,0.8327193021478285,0.8217488109086183,0.013450886665829385,10
2.0699226379394533,0.008115920945391963,0.0980759620666504,0.008217941513685639,,5,200,"{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.8179479101029197,0.7994744963081446,0.8324951933174995,0.8288881618276702,0.8335281247851565,0.8224667772682782,0.012753210272028805,9
0.6684174060821533,0.026735609576911287,0.04757394790649414,0.0036090311360225777,5,2,100,"{'model__max_depth': 5, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.8398910216017966,0.8312591892459567,0.841195692566203,0.8621067810576317,0.8500725918317003,0.8449050552606577,0.010466254048414083,4
1.3249662399291993,0.008692570416813962,0.07816286087036133,0.004322289402364177,5,2,200,"{'model__max_depth': 5, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.8392003134441699,0.8313480522837802,0.8411351041313233,0.8618745253905935,0.8515527372580104,0.8450221465015755,0.010607874255105334,3
0.6907927989959717,0.02834866933182272,0.05219740867614746,0.006763994763917526,5,5,100,"{'model__max_depth': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.8397819624190135,0.8315681902638423,0.841480458210137,0.862076486840192,0.8507075176020027,0.8451229230670375,0.010432020062997309,1
1.510352897644043,0.07531740004776188,0.0743551254272461,0.004054973569245172,5,5,200,"{'model__max_depth': 5, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.8391276073223143,0.8313238169098282,0.8413814970998336,0.8616220735785954,0.8519470382937078,0.8450804066408558,0.01057486536918902,2
0.9756295680999756,0.007518355421373896,0.05588970184326172,0.004118964579100741,10,2,100,"{'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.8322750553374372,0.8223728854636227,0.8445765272324819,0.8487631880826589,0.8497733274558888,0.8395521967144178,0.010607952624772269,8
1.8659420013427734,0.030893524846706218,0.09897675514221191,0.01452478611376754,10,2,200,"{'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.8330303911589356,0.8230191621023378,0.8454712164542033,0.8499507214062979,0.8513565977684583,0.8405656177780466,0.010892640310034687,7
0.9322926998138428,0.026855475894089854,0.052251243591308595,0.00195550110826217,10,5,100,"{'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.8348116911443945,0.8248246974617484,0.8431042282649089,0.8506373903349329,0.8505437310179438,0.8407843476447857,0.009880211736661829,5
1.4641931533813477,0.10265262819050922,0.05604538917541504,0.010224631418349742,10,5,200,"{'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.83378774659493,0.8245076179858788,0.8430557575170051,0.8513927261564312,0.8507681792998022,0.8407024055108095,0.010307518363243855,6
